,Experiment,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,R1,R2,project,condition,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,treatment,temperature,pH,OD,growth_phase,culture_type,skip
ERR2601616,ERX2618272,7760800,585044309,0,75,221,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/601/ERR2601616.sralite.1,Sample 19_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517255,SAMEA4697081,simple,1718,Corynebacterium glutamicum,SAMEA4697081,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,60734D779FAE5F685DEF30516B58F88D,55808AF9C920F9037250F8419521908A,,,prophage-induced-subpopulations,RNA_Later_pos_plys_2_S3_L001_R1,RNA_Later_pos_plys_2_S3_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601617,ERX2618273,7760800,585435134,0,75,225,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601617/ERR2601617.sralite.1,Sample 20_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517256,SAMEA4697082,simple,1718,Corynebacterium glutamicum,SAMEA4697082,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,CE41F6FE3B08152D2D279E4AADC9C38A,CC29B14B956624446732EE156FFE3E28,,,prophage-induced-subpopulations,RNA_Later_pos_plys_2_S3_L001_R2,RNA_Later_pos_plys_2_S3_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601618,ERX2618274,4934106,372113167,0,75,143,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2601/ERR2601618/ERR2601618.lite.2,Sample 25_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517257,SAMEA4697083,simple,1718,Corynebacterium glutamicum,SAMEA4697083,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,1E9045597F416E683BACC77A0F2F818A,60E8744C15F90B38188382055BE7E824,,,prophage-induced-subpopulations,RNA_Protect_pos_plys_1_S1_L001_R1,RNA_Protect_pos_plys_1_S1_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601619,ERX2618275,4934106,372303914,0,75,146,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2601/ERR2601619/ERR2601619.lite.2,Sample 26_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517258,SAMEA4697084,simple,1718,Corynebacterium glutamicum,SAMEA4697084,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,5E972AB425E7C03408EF058E0C9815E7,95AE8BEB3EAB6FB6AFB6C88C97B2BFCB,,,prophage-induced-subpopulations,RNA_Protect_pos_plys_1_S1_L001_R2,RNA_Protect_pos_plys_1_S1_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601620,ERX2618276,7653637,577880103,0,75,222,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/601/ERR2601620.sralite.1,Sample 27_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517259,SAMEA4697085,simple,1718,Corynebacterium glutamicum,SAMEA4697085,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,F73A3C5E35597D9463DFC0E7BB659AA5,2D9383F573328E989131A805E674902E,,,prophage-induced-subpopulations,RNA_Protect_pos_plys_2_S3_L001_R1,RNA_Protect_pos_plys_2_S3_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601621,ERX2618277,7653637,578080050,0,75,227,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601621/ERR2601621.sralite.1,Sample 28_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517260,SAMEA4697086,simple,1718,Corynebacterium glutamicum,SAMEA4697086,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,A683561478C5242425405FB9276FE67D,E7B59C1522043E885CB8765C49DA398D,,,prophage-induced-subpopulations,RNA_Protect_pos_plys_2_S3_L001_R2,RNA_Protect_pos_plys_2_S3_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601622,ERX2618278,2966604,224021221,0,75,74,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/601/ERR2601622.sralite.1,Sample 33_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517261,SAMEA4697087,simple,1718,Corynebacterium glutamicum,SAMEA4697087,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,63E8814165FFB49768BCFC0AD286BFEB,E26153C41F572AD0847406B204C15AFE,,,prophage-induced-subpopulations,Cg-divS-1n_S2_L001_R1,Cg-divS-1n_S2_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601623,ERX2618279,2966604,223988858,0,75,74,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/601/ERR2601623.sralite.1,Sample 34_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517262,SAMEA4697088,simple,1718,Corynebacterium glutamicum,SAMEA4697088,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,C5AA421728F509E4B44E76B23461387D,262580900A6142B2A751874C29E6C455,,,prophage-induced-subpopulations,Cg-divS-1n_S2_L001_R2,Cg-divS-1n_S2_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601624,ERX2618280,3029447,228716076,0,75,78,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/601/ERR2601624.sralite.1,Sample 37_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517263,SAMEA4697089,simple,1718,Corynebacterium glutamicum,SAMEA4697089,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,A8FD05DC5987D5EF15A69DF27A4F8B19,BA674EB13CF2B7F5C2F0325CD93ADD49,,,prophage-induced-subpopulations,Cg-divS-4n_S4_L001_R1,Cg-divS-4n_S4_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601625,ERX2618281,3029447,228660203,0,75,79,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601625/ERR2601625.sralite.1,Sample 38_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517264,SAMEA4697090,simple,1718,Corynebacterium glutamicum,SAMEA4697090,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,66540CE08463EBF70F9906AFB58DE307,0D8BD5A818EDF28638091D13B86BAFBB,,,prophage-induced-subpopulations,Cg-divS-4n_S4_L001_R2,Cg-divS-4n_S4_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601626,ERX2618282,6674039,503337415,0,75,192,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601626/ERR2601626.sralite.1,Sample 41_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517265,SAMEA4697091,simple,1718,Corynebacterium glutamicum,SAMEA4697091,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,B6D0A026400E0B79704C113A3DC82550,2D5F2C0F9C13FFD4AC62F1C6D86A35CC,,,prophage-induced-subpopulations,divS-3neg_S3_L001_R1,divS-3neg_S3_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601627,ERX2618283,6674039,504323151,0,75,196,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/601/ERR2601627.sralite.1,Sample 42_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517266,SAMEA4697092,simple,1718,Corynebacterium glutamicum,SAMEA4697092,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,75CD3072201496F6C6784844F0EBA0CC,FD63B0B45559E9EEB84063D918682CF9,,,prophage-induced-subpopulations,divS-3neg_S3_L001_R2,divS-3neg_S3_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601628,ERX2618284,2500003,188073104,0,75,64,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/601/ERR2601628.sralite.1,Sample 35_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517267,SAMEA4697093,simple,1718,Corynebacterium glutamicum,SAMEA4697093,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,5DCBC5FA6714FD093E8FEFE2567B5BEE,DE0A84BD2E2AB9FF83C54033169D6048,,,prophage-induced-subpopulations,Cg-divS-1p_S1_L001_R1,Cg-divS-1p_S1_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601629,ERX2618285,2500003,188034872,0,75,64,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/601/ERR2601629.sralite.1,Sample 36_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517268,SAMEA4697094,simple,1718,Corynebacterium glutamicum,SAMEA4697094,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,42E3D08F94AD2EE49ACF21E597F8A7F5,335D17095EF0FE326FDB0C799B587AE9,,,prophage-induced-subpopulations,Cg-divS-1p_S1_L001_R2,Cg-divS-1p_S1_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601630,ERX2618286,3261292,246018455,0,75,82,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/601/ERR2601630.sralite.1,Sample 39_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517269,SAMEA4697095,simple,1718,Corynebacterium glutamicum,SAMEA4697095,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,C3A29558FFE84BA5588BFF562E15F3DF,02E7ABBAC5F53268B9A90B3E928469DA,,,prophage-induced-subpopulations,Cg-divS-4p_S3_L001_R1,Cg-divS-4p_S3_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601631,ERX2618287,3261292,245965510,0,75,81,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601631/ERR2601631.sralite.1,Sample 40_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517270,SAMEA4697096,simple,1718,Corynebacterium glutamicum,SAMEA4697096,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,438E3486140D4B51A1B9935F8577CFC5,DC5C619C4FDCFB3DAC9E88B5578E4973,,,prophage-induced-subpopulations,Cg-divS-4p_S3_L001_R2,Cg-divS-4p_S3_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601632,ERX2618288,6440388,486006166,0,75,186,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR002/2601/ERR2601632/ERR2601632.lite.2,Sample 43_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517271,SAMEA4697097,simple,1718,Corynebacterium glutamicum,SAMEA4697097,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,FF6B32E75A00F8D1B9C0C7EE7E56A54E,9E5F02A3DD766C4B79C4978A9608ACA8,,,prophage-induced-subpopulations,divS-4pos_S4_L001_R1,divS-4pos_S4_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601633,ERX2618289,6440388,486773150,0,75,192,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/601/ERR2601633.sralite.1,Sample 44_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517272,SAMEA4697098,simple,1718,Corynebacterium glutamicum,SAMEA4697098,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,18D5304DDCAA60CD18D63C7845499DDA,D1DCAD1679385387C7E61849DB8B5F19,,,prophage-induced-subpopulations,divS-4pos_S4_L001_R2,divS-4pos_S4_L001_R2,ATCC13032,,,,,,,,,,,
ERR2868910,ERX2874785,35770064,1824273264,0,51,1086,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/868/ERR2868910.sralite.1,C. glutamicum 12hr_s,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111828,PRJEB29518,,508073,ERS2877093,SAMEA5065932,simple,1718,Corynebacterium glutamicum,SAMEA5065932,,,,,,,no,,,,,experimenter,ERA1646589,,public,92F2EB0024D423C0A1C2D3BF22D8AAB4,7C92CFFFAF9D9A91566E920280382A5C,,,Muconic-Acid-Biosynthesis,7hr,7hr,ATCC13032,LB,glucose,,,,30℃,,,7h,,
ERR2868911,ERX2874786,33310423,1698831573,0,51,1015,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/868/ERR2868911.sralite.1,C. glutamicum 7hr_s,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP111828,PRJEB29518,,508073,ERS2877094,SAMEA5065933,simple,1718,Corynebacterium glutamicum,SAMEA5065933,,,,,,,no,,,,,experimenter,ERA1646589,,public,151214516ED80E903DB273C5494D6430,137429441AD8F0F558C6FC60428F70AC,,,Muconic-Acid-Biosynthesis,12hr,12hr,ATCC13032,LB,glucose,,,,30℃,,,12h,,
ERR2936684,ERX2939478,6204256,881004352,6204256,142,312,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/936/ERR2936684/ERR2936684.sralite.1,C1C-T15-R1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,500,100,ILLUMINA,Illumina HiSeq 1500,ERP112375,PRJEB30012,,530451,ERS2923782,SAMEA5139416,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA5139416,,,,,,,no,,,,,T. Busche,ERA1667571,,public,F65CAFCC31252E2CC0DB8082E2F1599D,660678D15A081E6D3670ABDA0191EA37,,,differing-in-growth-rates-lackC,C1C-T15-R1_p,C1C-T15-R1_p,ATCC13032,CGXII,glucose,,,,30℃,7.4,,"15h,0.3/h",,
ERR2936685,ERX2939479,5956777,845862334,5956777,142,302,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR002/2936/ERR2936685/ERR2936685.lite.2,C1C-T21-R1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,500,100,ILLUMINA,Illumina HiSeq 1500,ERP112375,PRJEB30012,,530451,ERS2923783,SAMEA5139417,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA5139417,,,,,,,no,,,,,T. Busche,ERA1667571,,public,171A0153F1D7C64D0F561DEDC1C52155,503713C7F1C9784A0B285C0F9FD067CB,,,differing-in-growth-rates-lackC,C1C-T21-R1_p,C1C-T21-R1_p,ATCC13032,CGXII,glucose,,,,30℃,7.4,,"21h,0.4/h",,
ERR2936686,ERX2939480,6048699,858915258,6048699,142,307,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/936/ERR2936686/ERR2936686.sralite.1,C1C-T4-R1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,500,100,ILLUMINA,Illumina HiSeq 1500,ERP112375,PRJEB30012,,530451,ERS2923784,SAMEA5139419,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA5139419,,,,,,,no,,,,,T. Busche,ERA1667571,,public,6789C831840C1B585828F4EAC7D70C1E,B6C5D5371D35E2B12F463ED0DFEC17BE,,,differing-in-growth-rates-lackC,C1C-T4-R1_p,C1C-T4-R1_p,ATCC13032,CGXII,glucose,,,,30℃,7.4,,"4h,0.1/h",,
ERR2936687,ERX2939481,6389336,907285712,6389336,142,322,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/936/ERR2936687/ERR2936687.sralite.1,C1C-T6-R1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,500,100,ILLUMINA,Illumina HiSeq 1500,ERP112375,PRJEB30012,,530451,ERS2923785,SAMEA5139420,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA5139420,,,,,,,no,,,,,T. Busche,ERA1667571,,public,D66524605387401A13A0F8C9E8751265,7D5CA323F0CEFE3991543D0BBC332417,,,differing-in-growth-rates-lackC,C1C-T6-R1_p,C1C-T6-R1_p,ATCC13032,CGXII,glucose,,,,30℃,7.4,,"6h,0.2/h",,
ERR2936688,ERX2939482,4325610,648841500,4325610,150,266,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/936/ERR2936688.sralite.1,C2C-T10-R1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,500,100,ILLUMINA,Illumina MiSeq,ERP112375,PRJEB30012,,530451,ERS2923786,SAMEA5139421,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA5139421,,,,,,,no,,,,,T. Busche,ERA1667571,,public,D29BB20BF0804D178FCCB7AD639CE347,58C65EA6648F83EF2B8AE81E50B6DA77,,,differing-in-growth-rates-lackC,C2C-T10-R1_p,C2C-T10-R1_p,ATCC13032,CGXII,glucose,,,,30℃,7.4,,"10h,0.2/h",,
ERR2936689,ERX2939483,5851085,830854070,5851085,142,299,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2936/ERR2936689/ERR2936689.lite.2,C2C-T23-R1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,500,100,ILLUMINA,Illumina HiSeq 1500,ERP112375,PRJEB30012,,530451,ERS2923787,SAMEA5139422,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA5139422,,,,,,,no,,,,,T. Busche,ERA1667571,,public,0ADE1CCA054A0C5EE5245BDDBD383B2E,FC51E33EDD85CFF5078359FEF0B85FA8,,,differing-in-growth-rates-lackC,C2C-T23-R1_p,C2C-T23-R1_p,ATCC13032,CGXII,glucose,,,,30℃,7.4,,"23h,0.3/h",,
ERR2936690,ERX2939484,5808737,824840654,5808737,142,296,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2936/ERR2936690/ERR2936690.lite.2,C2C-T30-R1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,500,100,ILLUMINA,Illumina HiSeq 1500,ERP112375,PRJEB30012,,530451,ERS2923788,SAMEA5139423,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA5139423,,,,,,,no,,,,,T. Busche,ERA1667571,,public,C3492274B59640CA55CA381E87C5D480,F71F686047D3130148C20A43EDF6A75A,,,differing-in-growth-rates-lackC,C2C-T30-R1_p,C2C-T30-R1_p,ATCC13032,CGXII,glucose,,,,30℃,7.4,,"30h,0.4/h",,
ERR2936691,ERX2939485,6019194,902879100,6019194,150,370,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR002/2936/ERR2936691/ERR2936691.lite.2,C2C-T6-R1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,500,100,ILLUMINA,Illumina MiSeq,ERP112375,PRJEB30012,,530451,ERS2923789,SAMEA5139424,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA5139424,,,,,,,no,,,,,T. Busche,ERA1667571,,public,08E8D5EDD5E475B9B04B65123C22E3F8,1ABBBDFAA0953AD4D83917B2A41C89F0,,,differing-in-growth-rates-lackC,C2C-T6-R1_p,C2C-T6-R1_p,ATCC13032,CGXII,glucose,,,,30℃,7.4,,"6h,0.1/h",,
ERR2936692,ERX2939486,6706222,952283524,6706222,142,342,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2936/ERR2936692/ERR2936692.lite.2,C3C-T16-R1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,500,100,ILLUMINA,Illumina HiSeq 1500,ERP112375,PRJEB30012,,530451,ERS2923790,SAMEA5139425,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA5139425,,,,,,,no,,,,,T. Busche,ERA1667571,,public,1BC47C1290E75BA7C26260372A7D8B57,CEBC6B3A60BA1968B72F82936FC6AF9C,,,differing-in-growth-rates-lackC,C3C-T16-R1_p,C3C-T16-R1_p,ATCC13032,CGXII,glucose,,,,30℃,7.4,,"16h,0.3/h",,
ERR2936693,ERX2939487,6335834,899688428,6335834,142,321,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/936/ERR2936693.sralite.1,C3C-T2-R1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,500,100,ILLUMINA,Illumina HiSeq 1500,ERP112375,PRJEB30012,,530451,ERS2923791,SAMEA5139426,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA5139426,,,,,,,no,,,,,T. Busche,ERA1667571,,public,841D2D6F14F08751A13CF16DFA2CA62E,DD28E09BE65351CABCDCAE93FD44444B,,,differing-in-growth-rates-lackC,C3C-T2-R1_p,C3C-T2-R1_p,ATCC13032,CGXII,glucose,,,,30℃,7.4,,"2h,0.1/h",,
ERR2936694,ERX2939488,5892379,836717818,5892379,142,299,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR002/936/ERR2936694.sralite.1,C3C-T25-R1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,500,100,ILLUMINA,Illumina HiSeq 1500,ERP112375,PRJEB30012,,530451,ERS2923792,SAMEA5139427,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA5139427,,,,,,,no,,,,,T. Busche,ERA1667571,,public,2E2BC0EEAE3B2D388B82FF261E36E855,3A4A4B7685B40DDFFFBB1B02B2671199,,,differing-in-growth-rates-lackC,C3C-T25-R1_p,C3C-T25-R1_p,ATCC13032,CGXII,glucose,,,,30℃,7.4,,"25h,0.4/h",,
ERR2936695,ERX2939489,8362230,1187436660,8362230,142,423,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR002/2936/ERR2936695/ERR2936695.lite.2,C3C-T5-R1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,500,100,ILLUMINA,Illumina HiSeq 1500,ERP112375,PRJEB30012,,530451,ERS2923793,SAMEA5139428,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA5139428,,,,,,,no,,,,,T. Busche,ERA1667571,,public,A05FB7A981D71195AC19765515C58A50,FD279A112A9174E47C67F816093D61C5,,,differing-in-growth-rates-lackC,C3C-T5-R1_p,C3C-T5-R1_p,ATCC13032,CGXII,glucose,,,,30℃,7.4,,"5h,0.2/h",,
ERR2936696,ERX2939490,6537964,928390888,6537964,142,337,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2936/ERR2936696/ERR2936696.lite.2,N3N-T13-R1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,500,100,ILLUMINA,Illumina HiSeq 1500,ERP112375,PRJEB30012,,530451,ERS2923794,SAMEA5139429,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA5139429,,,,,,,no,,,,,T. Busche,ERA1667571,,public,CD1756552C4B2159FCE0B1DAFCE3DF73,858076E9526B8718CDEC9CA5B42713E3,,,differing-in-growth-rates-lackN,N3N-T13-R1_p,N3N-T13-R1_p,ATCC13032,CGXII,glucose,,,,30℃,7.4,,"13h,0.02/h",,
ERR2936697,ERX2939491,7532433,1069605486,7532433,142,392,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR002/936/ERR2936697.sralite.1,N3N-T19-R1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,500,100,ILLUMINA,Illumina HiSeq 1500,ERP112375,PRJEB30012,,530451,ERS2923795,SAMEA5139430,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA5139430,,,,,,,no,,,,,T. Busche,ERA1667571,,public,5CFC19CCC7E1195C761A9F411DCB7420,D9C27C64F87BF0EACFB5C5051BAA41FC,,,differing-in-growth-rates-lackN,N3N-T19-R1_p,N3N-T19-R1_p,ATCC13032,CGXII,glucose,,,,30℃,7.4,,"19h,0.1/h",,
ERR2936698,ERX2939492,4630046,694506900,4630046,150,275,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/936/ERR2936698.sralite.1,N3N-T22-R1_p,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,500,100,ILLUMINA,Illumina MiSeq,ERP112375,PRJEB30012,,530451,ERS2923796,SAMEA5139431,simple,196627,Corynebacterium glutamicum ATCC 13032,SAMEA5139431,,,,,,,no,,,,,T. Busche,ERA1667571,,public,56A5093EF501C9B02273ED635649D7D7,4C46BA1F14AD5E90AB83DA3D62F1A1FF,,,differing-in-growth-rates-lackN,N3N-T22-R1_p,N3N-T22-R1_p,ATCC13032,CGXII,glucose,,,,30℃,7.4,,"22h,0.2/h",,
