UniProtKB	Q8NNV2	Cgl2078		PMID:19372162IF: 3.5 Q2 	EXP		P	ABC-type transporter, ATPase component and permease component		protein	NCBITaxon:196627	20170328	CollecTF			GO:0009432	SOS response
UniProtKB	P31026	gdh		GO_REF:0000024	ISS	UniProtKB:P00370	P	NADP-specific glutamate dehydrogenase	Cgl2079|cg2280	protein	NCBITaxon:196627	20120515	UniProt			GO:0006537	glutamate biosynthetic process
UniProtKB	Q8NRC3	odhA		PMID:20303957IF: 3.0 Q2 	IPI	UniProtKB:Q8NQJ3	F	2-oxoglutarate dehydrogenase E1/E2 component	Cgl1129|cg1280	protein	NCBITaxon:196627	20250426	IntAct			GO:0005515	protein binding
UniProtKB	P08499	hom		GO_REF:0000024	ISS	UniProtKB:P31116	F	Homoserine dehydrogenase	thrA|Cgl1183|cg1337	protein	NCBITaxon:196627	20240320	UniProt			GO:0070403	NAD+ binding
UniProtKB	P08499	hom		GO_REF:0000024	ISS	UniProtKB:P31116	F	Homoserine dehydrogenase	thrA|Cgl1183|cg1337	protein	NCBITaxon:196627	20240320	UniProt			GO:0004412	homoserine dehydrogenase activity
UniProtKB	P08499	hom		GO_REF:0000024	ISS	UniProtKB:P31116	P	Homoserine dehydrogenase	thrA|Cgl1183|cg1337	protein	NCBITaxon:196627	20240320	UniProt			GO:0009086	methionine biosynthetic process
UniProtKB	P08499	hom		GO_REF:0000024	ISS	UniProtKB:P31116	P	Homoserine dehydrogenase	thrA|Cgl1183|cg1337	protein	NCBITaxon:196627	20240320	UniProt			GO:0009088	threonine biosynthetic process
UniProtKB	Q8NRR3	ripA		PMID:16179344IF: 3.9 Q2 	IMP		P	HTH-type transcriptional regulator RipA	Cgl0982|cg1120	protein	NCBITaxon:196627	20150324	UniProt			GO:0006355	regulation of DNA-templated transcription
UniProtKB	Q57179	ilvC		PMID:12948643IF: 3.9 Q2 	IMP		F	Ketol-acid reductoisomerase (NADP(+))	Cgl1273|cg1437	protein	NCBITaxon:196627	20120412	CACAO			GO:0008677	2-dehydropantoate 2-reductase activity
UniProtKB	Q9X5C9	aroE		PMID:23929881IF: 2.4 Q3 	IDA		F	Quinate/shikimate dehydrogenase (NAD(+))	qsuD|Cgl0424|cg0504	protein	NCBITaxon:196627	20141114	UniProt			GO:0070403	NAD+ binding
UniProtKB	Q9X5C9	aroE		PMID:18566515	IDA		F	Quinate/shikimate dehydrogenase (NAD(+))	qsuD|Cgl0424|cg0504	protein	NCBITaxon:196627	20141114	UniProt			GO:0070403	NAD+ binding
UniProtKB	Q9X5C9	aroE		PMID:18566515	IDA		P	Quinate/shikimate dehydrogenase (NAD(+))	qsuD|Cgl0424|cg0504	protein	NCBITaxon:196627	20141114	UniProt			GO:0009423	chorismate biosynthetic process
UniProtKB	Q9X5C9	aroE		PMID:23929881IF: 2.4 Q3 	IDA		P	Quinate/shikimate dehydrogenase (NAD(+))	qsuD|Cgl0424|cg0504	protein	NCBITaxon:196627	20141114	UniProt			GO:0009423	chorismate biosynthetic process
UniProtKB	Q9X5C9	aroE		PMID:18566515	IDA		P	Quinate/shikimate dehydrogenase (NAD(+))	qsuD|Cgl0424|cg0504	protein	NCBITaxon:196627	20141114	UniProt			GO:0019632	shikimate metabolic process
UniProtKB	Q9X5C9	aroE		PMID:23929881IF: 2.4 Q3 	IDA		P	Quinate/shikimate dehydrogenase (NAD(+))	qsuD|Cgl0424|cg0504	protein	NCBITaxon:196627	20141114	UniProt			GO:0019632	shikimate metabolic process
UniProtKB	Q9X5C9	aroE		PMID:18566515	IDA		F	Quinate/shikimate dehydrogenase (NAD(+))	qsuD|Cgl0424|cg0504	protein	NCBITaxon:196627	20141114	UniProt			GO:0030266	quinate 3-dehydrogenase (NAD+) activity
UniProtKB	Q9X5C9	aroE		PMID:23929881IF: 2.4 Q3 	IDA		F	Quinate/shikimate dehydrogenase (NAD(+))	qsuD|Cgl0424|cg0504	protein	NCBITaxon:196627	20141114	UniProt			GO:0030266	quinate 3-dehydrogenase (NAD+) activity
UniProtKB	Q6M6E7	glpX		PMID:12904832IF: 2.6 Q3 	IDA		F	Fructose-1,6-bisphosphatase class 2	fbp|Cgl1019|cg1157	protein	NCBITaxon:196627	20101202	UniProt			GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity
UniProtKB	Q6M6E7	glpX		PMID:12904832IF: 2.6 Q3 	IDA		P	Fructose-1,6-bisphosphatase class 2	fbp|Cgl1019|cg1157	protein	NCBITaxon:196627	20101202	UniProt			GO:0030388	fructose 1,6-bisphosphate metabolic process
UniProtKB	Q6M6E7	glpX		PMID:12904832IF: 2.6 Q3 	IDA		F	Fructose-1,6-bisphosphatase class 2	fbp|Cgl1019|cg1157	protein	NCBITaxon:196627	20101202	UniProt			GO:0000287	magnesium ion binding
UniProtKB	Q6M6E7	glpX		PMID:12904832IF: 2.6 Q3 	IDA		F	Fructose-1,6-bisphosphatase class 2	fbp|Cgl1019|cg1157	protein	NCBITaxon:196627	20101202	UniProt			GO:0030145	manganese ion binding
UniProtKB	Q6M6E7	glpX		PMID:12904832IF: 2.6 Q3 	IMP		P	Fructose-1,6-bisphosphatase class 2	fbp|Cgl1019|cg1157	protein	NCBITaxon:196627	20101202	UniProt			GO:0006094	gluconeogenesis
UniProtKB	Q01651	gap		GO_REF:0000024	ISS	UniProtKB:P9WN83	F	Glyceraldehyde-3-phosphate dehydrogenase	Cgl1588|cg1791	protein	NCBITaxon:196627	20150707	UniProt			GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
UniProtKB	Q01651	gap		GO_REF:0000024	ISS	UniProtKB:P9WN83	F	Glyceraldehyde-3-phosphate dehydrogenase	Cgl1588|cg1791	protein	NCBITaxon:196627	20150707	UniProt			GO:0051287	NAD binding
UniProtKB	Q6M7C6	dnaE2		PMID:19372162IF: 3.5 Q2 	EXP		P	Error-prone DNA polymerase	Cgl0638|cg0738	protein	NCBITaxon:196627	20170328	CollecTF			GO:0009432	SOS response
UniProtKB	Q8NMD2	Cgl2646		PMID:25799411IF: 3.9 Q1 	IDA		F	Dihydrodipicolinate synthase/N-acetylneuraminate lyase		protein	NCBITaxon:196627	20150327	CACAO			GO:0008747	N-acetylneuraminate lyase activity
UniProtKB	Q8NNC6	glyQS		GO_REF:0000024	ISS	UniProtKB:P41250	F	Glycine--tRNA ligase	glyS|Cgl2278|cg2499	protein	NCBITaxon:196627	20091123	UniProt			GO:0046983	protein dimerization activity
UniProtKB	Q8NNC6	glyQS		GO_REF:0000024	ISS	UniProtKB:P41250	F	Glycine--tRNA ligase	glyS|Cgl2278|cg2499	protein	NCBITaxon:196627	20091123	UniProt			GO:0004820	glycine-tRNA ligase activity
UniProtKB	Q8NNM4	Cgl2169		PMID:19372162IF: 3.5 Q2 	EXP		P	SAV-6107-like HEPN domain-containing protein		protein	NCBITaxon:196627	20170328	CollecTF			GO:0009432	SOS response
UniProtKB	Q04513	ilvA		GO_REF:0000024	ISS	UniProtKB:P04968	P	L-threonine dehydratase biosynthetic IlvA	Cgl2127|cg2334	protein	NCBITaxon:196627	20120124	UniProt			GO:0006566	threonine metabolic process
UniProtKB	P42442	recA		PMID:19372162IF: 3.5 Q2 	EXP		P	Protein RecA	Cgl1955|cg2141	protein	NCBITaxon:196627	20170328	CollecTF			GO:0009432	SOS response
