Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1
WA5_RS01525	WA5_RS01525	306779	307462	Crp/Fnr family transcriptional regulator	WA5_RS01525	WA5_RS01525
WA5_RS03100	WA5_RS03100	630148	630810	hypothetical protein	WA5_RS03100	WA5_RS03100
WA5_RS09525	WA5_RS09525	2014158	2015495	DUF418 domain-containing protein	WA5_RS09525	WA5_RS09525
WA5_RS15400	WA5_RS15400	3283470	3284225	MFS transporter	WA5_RS15400	WA5_RS15400
narJ	WA5_RS05910	1246504	1247190	nitrate reductase molybdenum cofactor assembly chaperone	WA5_RS05925 // WA5_RS05920 // narH // narJ // narI	WA5_RS05925 // WA5_RS05920 // narH // narJ // narI
WA5_RS15605	WA5_RS15605	436463	436564	AURKAIP1/COX24 domain-containing protein	WA5_RS15605	WA5_RS15605
WA5_RS11060	WA5_RS11060	2358150	2358632	hypothetical protein	WA5_RS11060	WA5_RS11060
WA5_RS10110	WA5_RS10110	2144062	2145585	YifB family Mg chelatase-like AAA ATPase	WA5_RS10115 // WA5_RS10110 // dprA	WA5_RS10115 // WA5_RS10110 // dprA
WA5_RS08760	WA5_RS08760	1854281	1854856	hypothetical protein	WA5_RS08760	WA5_RS08760
WA5_RS11065	WA5_RS11065	2358769	2359416	heme oxygenase (biliverdin-producing)	WA5_RS11065	WA5_RS11065
WA5_RS14840	WA5_RS14840	3161679	3162014	cupin domain-containing protein	WA5_RS14840	WA5_RS14840
pstC	WA5_RS12910	2735199	2736266	phosphate ABC transporter permease subunit PstC	pstS // pstC // pstA // WA5_RS12900	pstS // pstC // pstA // WA5_RS12900
WA5_RS03105	WA5_RS03105	630949	631812	sucrase ferredoxin	WA5_RS03105	WA5_RS03105
WA5_RS15405	WA5_RS15405	3284396	3285424	iron-siderophore ABC transporter substrate-binding protein	WA5_RS15405	WA5_RS15405
narH	WA5_RS05915	1247195	1248790	nitrate reductase subunit beta	WA5_RS05925 // WA5_RS05920 // narH // narJ // narI	WA5_RS05925 // WA5_RS05920 // narH // narJ // narI
WA5_RS11070	WA5_RS11070	2359611	2362748	bifunctional [glutamine synthetase] adenylyltransferase/[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase	WA5_RS11070	WA5_RS11070
WA5_RS12925	WA5_RS12925	2738771	2739556	DUF2993 domain-containing protein	WA5_RS12925	WA5_RS12925
WA5_RS08405	WA5_RS08405	1781923	1782792	hypothetical protein	WA5_RS08405	WA5_RS08405
WA5_RS02410	WA5_RS02410	495904	495976	tRNA-Thr	WA5_RS02425 // WA5_RS02420 // WA5_RS02415 // WA5_RS02410 // WA5_RS02405	WA5_RS02425 // WA5_RS02420 // WA5_RS02415 // WA5_RS02410 // WA5_RS02405
WA5_RS04425	WA5_RS04425	935350	936609	molybdopterin molybdotransferase MoeA	WA5_RS04430 // WA5_RS04425 // WA5_RS04420	WA5_RS04430 // WA5_RS04425 // WA5_RS04420
WA5_RS11075	WA5_RS11075	2362815	2364155	glutamine synthetase	WA5_RS11075	WA5_RS11075
WA5_RS00235	WA5_RS00235	43923	45347	penicillin-binding protein 2	WA5_RS00255 // WA5_RS00250 // WA5_RS00245 // WA5_RS00240 // WA5_RS00235 // WA5_RS00230 // pknB	WA5_RS00255 // WA5_RS00250 // WA5_RS00245 // WA5_RS00240 // WA5_RS00235 // WA5_RS00230 // pknB
WA5_RS00895	WA5_RS00895	182819	184054	Gfo/Idh/MocA family oxidoreductase	WA5_RS00900 // WA5_RS00895	WA5_RS00900 // WA5_RS00895
pstS	WA5_RS12915	2736411	2737538	phosphate ABC transporter substrate-binding protein PstS	pstS // pstC // pstA // WA5_RS12900	pstS // pstC // pstA // WA5_RS12900
WA5_RS01530	WA5_RS01530	307724	307909	hypothetical protein	WA5_RS01530	WA5_RS01530
WA5_RS03110	WA5_RS03110	631821	632684	prenyltransferase	WA5_RS03135 // WA5_RS03130 // WA5_RS03125 // WA5_RS03120 // WA5_RS03115 // WA5_RS03110	WA5_RS03135 // WA5_RS03130 // WA5_RS03125 // WA5_RS03120 // WA5_RS03115 // WA5_RS03110
WA5_RS09520	WA5_RS09520	2011874	2013358	RNA polymerase sigma factor	WA5_RS09520	WA5_RS09520
WA5_RS15410	WA5_RS15410	3285602	3286579	zinc-binding dehydrogenase	WA5_RS15410	WA5_RS15410
WA5_RS05920	WA5_RS05920	1248790	1252536	nitrate reductase subunit alpha	WA5_RS05925 // WA5_RS05920 // narH // narJ // narI	WA5_RS05925 // WA5_RS05920 // narH // narJ // narI
WA5_RS02115	WA5_RS02115	436977	438044	HAD-IB family hydrolase	WA5_RS02115	WA5_RS02115
WA5_RS11080	WA5_RS11080	2364352	2365458	DUF2786 domain-containing protein	WA5_RS11080	WA5_RS11080
rplS	WA5_RS10140	2149630	2149971	50S ribosomal protein L19	rplS	WA5_RS10140
WA5_RS04430	WA5_RS04430	936614	937276	GNAT family N-acetyltransferase	WA5_RS04430 // WA5_RS04425 // WA5_RS04420	WA5_RS04430 // WA5_RS04425 // WA5_RS04420
WA5_RS11085	WA5_RS11085	2365599	2367416	CYTH and CHAD domain-containing protein	WA5_RS11085	WA5_RS11085
rimI	WA5_RS02980	606392	606901	ribosomal protein S18-alanine N-acetyltransferase	WA5_RS02990 // tsaD // rimI // tsaB // WA5_RS02970 // WA5_RS02965	WA5_RS02990 // tsaD // rimI // tsaB // WA5_RS02970 // WA5_RS02965
mshD	WA5_RS12920	2737833	2738711	mycothiol synthase	mshD	WA5_RS12920
WA5_RS03115	WA5_RS03115	632687	633079	lycopene cyclase domain-containing protein	WA5_RS03135 // WA5_RS03130 // WA5_RS03125 // WA5_RS03120 // WA5_RS03115 // WA5_RS03110	WA5_RS03135 // WA5_RS03130 // WA5_RS03125 // WA5_RS03120 // WA5_RS03115 // WA5_RS03110
WA5_RS15415	WA5_RS15415	3286622	3287008	DUF1304 family protein	WA5_RS15415	WA5_RS15415
WA5_RS13180	WA5_RS13180	2795673	2796755	LacI family DNA-binding transcriptional regulator	WA5_RS13180	WA5_RS13180
WA5_RS11090	WA5_RS11090	2367470	2367652	hypothetical protein	WA5_RS11090	WA5_RS11090
WA5_RS09185	WA5_RS09185	1956199	1958277	AAA family ATPase	WA5_RS09185	WA5_RS09185
WA5_RS04435	WA5_RS04435	937390	938403	hypothetical protein	WA5_RS04440 // WA5_RS04435	WA5_RS04440 // WA5_RS04435
WA5_RS11095	WA5_RS11095	2367791	2369086	galactokinase	WA5_RS11095	WA5_RS11095
WA5_RS00240	WA5_RS00240	45344	46669	FtsW/RodA/SpoVE family cell cycle protein	WA5_RS00255 // WA5_RS00250 // WA5_RS00245 // WA5_RS00240 // WA5_RS00235 // WA5_RS00230 // pknB	WA5_RS00255 // WA5_RS00250 // WA5_RS00245 // WA5_RS00240 // WA5_RS00235 // WA5_RS00230 // pknB
WA5_RS00900	WA5_RS00900	184077	185090	sugar phosphate isomerase/epimerase	WA5_RS00900 // WA5_RS00895	WA5_RS00900 // WA5_RS00895
WA5_RS15420	WA5_RS15420	3287076	3287282	hypothetical protein	WA5_RS15420	WA5_RS15420
WA5_RS03120	WA5_RS03120	633076	633525	lycopene cyclase domain-containing protein	WA5_RS03135 // WA5_RS03130 // WA5_RS03125 // WA5_RS03120 // WA5_RS03115 // WA5_RS03110	WA5_RS03135 // WA5_RS03130 // WA5_RS03125 // WA5_RS03120 // WA5_RS03115 // WA5_RS03110
WA5_RS08410	WA5_RS08410	1782890	1785472	hypothetical protein	WA5_RS08410	WA5_RS08410
WA5_RS02420	WA5_RS02420	496340	496411	tRNA-Met	WA5_RS02425 // WA5_RS02420 // WA5_RS02415 // WA5_RS02410 // WA5_RS02405	WA5_RS02425 // WA5_RS02420 // WA5_RS02415 // WA5_RS02410 // WA5_RS02405
WA5_RS05930	WA5_RS05930	1254148	1254636	MogA/MoaB family molybdenum cofactor biosynthesis protein	WA5_RS05930	WA5_RS05930
WA5_RS02120	WA5_RS02120	438191	438427	glutaredoxin family protein	WA5_RS02120	WA5_RS02120
WA5_RS11100	WA5_RS11100	2369113	2370522	VacB/RNase II family 3'-5' exoribonuclease	WA5_RS11100	WA5_RS11100
WA5_RS10120	WA5_RS10120	2146260	2146565	DUF2469 domain-containing protein	lepB // WA5_RS10125 // WA5_RS10120	lepB // WA5_RS10125 // WA5_RS10120
WA5_RS08610	WA5_RS08610	1817820	1818221	hypothetical protein	WA5_RS08610 // WA5_RS08605	WA5_RS08610 // WA5_RS08605
WA5_RS05935	WA5_RS05935	1254733	1256673	phosphatase PAP2 family protein	WA5_RS05935	WA5_RS05935
WA5_RS08910	WA5_RS08910	1894735	1897230	hypothetical protein	WA5_RS08910	WA5_RS08910
WA5_RS11110	WA5_RS11110	2371409	2372557	bifunctional RNase H/acid phosphatase	WA5_RS11120 // WA5_RS11115 // WA5_RS11110	WA5_RS11120 // WA5_RS11115 // WA5_RS11110
cycA	WA5_RS02385	490529	491941	D-serine/D-alanine/glycine transporter	WA5_RS02390 // cycA	WA5_RS02390 // cycA
WA5_RS12930	WA5_RS12930	2739553	2740671	diacylglycerol kinase family lipid kinase	WA5_RS12930	WA5_RS12930
WA5_RS03125	WA5_RS03125	633529	635175	phytoene desaturase	WA5_RS03135 // WA5_RS03130 // WA5_RS03125 // WA5_RS03120 // WA5_RS03115 // WA5_RS03110	WA5_RS03135 // WA5_RS03130 // WA5_RS03125 // WA5_RS03120 // WA5_RS03115 // WA5_RS03110
thiD	WA5_RS15425	3287390	3288190	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiD	WA5_RS15425
WA5_RS04445	WA5_RS04445	939685	940092	DoxX family protein	WA5_RS04455 // WA5_RS04450 // WA5_RS04445	WA5_RS04455 // WA5_RS04450 // WA5_RS04445
WA5_RS11115	WA5_RS11115	2372570	2373289	zinc ribbon domain-containing protein	WA5_RS11120 // WA5_RS11115 // WA5_RS11110	WA5_RS11120 // WA5_RS11115 // WA5_RS11110
WA5_RS10160	WA5_RS10160	2152333	2153115	thiazole synthase	WA5_RS10165 // WA5_RS10160 // thiS // thiO // WA5_RS10145	WA5_RS10165 // WA5_RS10160 // thiS // thiO // WA5_RS10145
WA5_RS05945	WA5_RS05945	1257861	1259264	HlyC/CorC family transporter	WA5_RS05945 // WA5_RS05940	WA5_RS05945 // WA5_RS05940
WA5_RS04450	WA5_RS04450	940085	940756	zf-HC2 domain-containing protein	WA5_RS04455 // WA5_RS04450 // WA5_RS04445	WA5_RS04455 // WA5_RS04450 // WA5_RS04445
WA5_RS11120	WA5_RS11120	2373320	2374462	Nif3-like dinuclear metal center hexameric protein	WA5_RS11120 // WA5_RS11115 // WA5_RS11110	WA5_RS11120 // WA5_RS11115 // WA5_RS11110
WA5_RS00245	WA5_RS00245	46666	48021	serine/threonine-protein phosphatase	WA5_RS00255 // WA5_RS00250 // WA5_RS00245 // WA5_RS00240 // WA5_RS00235 // WA5_RS00230 // pknB	WA5_RS00255 // WA5_RS00250 // WA5_RS00245 // WA5_RS00240 // WA5_RS00235 // WA5_RS00230 // pknB
WA5_RS00905	WA5_RS00905	185214	185645	hypothetical protein	WA5_RS00905	WA5_RS00905
WA5_RS12935	WA5_RS12935	2740670	2741359	FABP family protein	WA5_RS12935	WA5_RS12935
WA5_RS01540	WA5_RS01540	308745	309305	TlpA family protein disulfide reductase	WA5_RS01545 // WA5_RS01540 // nth	WA5_RS01545 // WA5_RS01540 // nth
WA5_RS03185	WA5_RS03185	649111	650193	methionine ABC transporter ATP-binding protein	WA5_RS03185 // WA5_RS03180	WA5_RS03185 // WA5_RS03180
WA5_RS09530	WA5_RS09530	2015581	2016120	hypothetical protein	WA5_RS09530	WA5_RS09530
WA5_RS15430	WA5_RS15430	3288265	3288612	hypothetical protein	WA5_RS15430	WA5_RS15430
WA5_RS05950	WA5_RS05950	1259425	1259988	molybdenum cofactor guanylyltransferase	WA5_RS05955 // WA5_RS05950	WA5_RS05955 // WA5_RS05950
WA5_RS04455	WA5_RS04455	940767	941927	alpha-amylase family protein	WA5_RS04455 // WA5_RS04450 // WA5_RS04445	WA5_RS04455 // WA5_RS04450 // WA5_RS04445
WA5_RS02125	WA5_RS02125	438516	439907	glutamyl-tRNA reductase	hemC // WA5_RS02125	hemC // WA5_RS02125
WA5_RS11125	WA5_RS11125	2374544	2375200	HAD family hydrolase	WA5_RS11135 // WA5_RS11130 // WA5_RS11125	WA5_RS11135 // WA5_RS11130 // WA5_RS11125
WA5_RS10125	WA5_RS10125	2146562	2147230	ribonuclease HII	lepB // WA5_RS10125 // WA5_RS10120	lepB // WA5_RS10125 // WA5_RS10120
WA5_RS03170	WA5_RS03170	645173	647590	ABC transporter permease	WA5_RS03175 // WA5_RS03170	WA5_RS03175 // WA5_RS03170
WA5_RS05955	WA5_RS05955	1259989	1261200	molybdopterin molybdotransferase MoeA	WA5_RS05955 // WA5_RS05950	WA5_RS05955 // WA5_RS05950
WA5_RS04460	WA5_RS04460	942377	943939	phospholipid carrier-dependent glycosyltransferase	WA5_RS04460	WA5_RS04460
WA5_RS11130	WA5_RS11130	2375187	2375687	low molecular weight phosphotyrosine protein phosphatase	WA5_RS11135 // WA5_RS11130 // WA5_RS11125	WA5_RS11135 // WA5_RS11130 // WA5_RS11125
WA5_RS05985	WA5_RS05985	1269395	1270045	threonylcarbamoyl-AMP synthase	WA5_RS05990 // WA5_RS05985	WA5_RS05990 // WA5_RS05985
WA5_RS12940	WA5_RS12940	2741633	2742577	aminodeoxychorismate lyase	WA5_RS12940	WA5_RS12940
WA5_RS01570	WA5_RS01570	314944	316005	CpaE-like family protein	WA5_RS01600 // WA5_RS01595 // WA5_RS01590 // WA5_RS01585 // WA5_RS01580 // WA5_RS01575 // WA5_RS01570	WA5_RS01600 // WA5_RS01595 // WA5_RS01590 // WA5_RS01585 // WA5_RS01580 // WA5_RS01575 // WA5_RS01570
WA5_RS03135	WA5_RS03135	636086	638224	MMPL family transporter	WA5_RS03135 // WA5_RS03130 // WA5_RS03125 // WA5_RS03120 // WA5_RS03115 // WA5_RS03110	WA5_RS03135 // WA5_RS03130 // WA5_RS03125 // WA5_RS03120 // WA5_RS03115 // WA5_RS03110
WA5_RS15435	WA5_RS15435	3288685	3288888	heavy-metal-associated domain-containing protein	WA5_RS15435	WA5_RS15435
moaA	WA5_RS05960	1261684	1262817	GTP 3',8-cyclase MoaA	moaA	WA5_RS05960
WA5_RS08340	WA5_RS08340	1773889	1774437	copper chaperone PCu(A)C	WA5_RS08345 // WA5_RS08340 // WA5_RS08335	WA5_RS08345 // WA5_RS08340 // WA5_RS08335
WA5_RS11135	WA5_RS11135	2375722	2376723	SURF1 family protein	WA5_RS11135 // WA5_RS11130 // WA5_RS11125	WA5_RS11135 // WA5_RS11130 // WA5_RS11125
WA5_RS09190	WA5_RS09190	1958446	1959339	pentapeptide repeat-containing protein	WA5_RS09190	WA5_RS09190
prmC	WA5_RS05980	1268506	1269345	peptide chain release factor N(5)-glutamine methyltransferase	prmC // prfA // rho	prmC // prfA // rho
WA5_RS02425	WA5_RS02425	496508	496580	tRNA-Trp	WA5_RS02425 // WA5_RS02420 // WA5_RS02415 // WA5_RS02410 // WA5_RS02405	WA5_RS02425 // WA5_RS02420 // WA5_RS02415 // WA5_RS02410 // WA5_RS02405
WA5_RS05965	WA5_RS05965	1262882	1264609	long-chain fatty-acid--CoA ligase	WA5_RS05965	WA5_RS05965
rsmI	WA5_RS04465	943987	944835	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI	WA5_RS04465
WA5_RS00250	WA5_RS00250	48021	48485	FHA domain-containing protein	WA5_RS00255 // WA5_RS00250 // WA5_RS00245 // WA5_RS00240 // WA5_RS00235 // WA5_RS00230 // pknB	WA5_RS00255 // WA5_RS00250 // WA5_RS00245 // WA5_RS00240 // WA5_RS00235 // WA5_RS00230 // pknB
WA5_RS08415	WA5_RS08415	1785728	1786843	hypothetical protein	WA5_RS08415	WA5_RS08415
WA5_RS00910	WA5_RS00910	186508	186711	cold-shock protein	WA5_RS00910	WA5_RS00910
WA5_RS12945	WA5_RS12945	2742667	2743788	folate-binding protein YgfZ	WA5_RS12945	WA5_RS12945
WA5_RS01545	WA5_RS01545	309298	310041	CoA pyrophosphatase	WA5_RS01545 // WA5_RS01540 // nth	WA5_RS01545 // WA5_RS01540 // nth
WA5_RS03140	WA5_RS03140	638314	639462	polyprenyl synthetase family protein	WA5_RS03140	WA5_RS03140
WA5_RS09535	WA5_RS09535	2016253	2017965	DEAD/DEAH box helicase family protein	WA5_RS09540 // WA5_RS09535	WA5_RS09540 // WA5_RS09535
WA5_RS15440	WA5_RS15440	3288968	3289315	AzlD domain-containing protein	WA5_RS15455 // WA5_RS15450 // WA5_RS15445 // WA5_RS15440	WA5_RS15455 // WA5_RS15450 // WA5_RS15445 // WA5_RS15440
rho	WA5_RS05970	1265141	1267429	transcription termination factor Rho	prmC // prfA // rho	prmC // prfA // rho
hemC	WA5_RS02130	439909	440817	hydroxymethylbilane synthase	hemC // WA5_RS02125	hemC // WA5_RS02125
WA5_RS15810	WA5_RS15810	2376995	2377726	transposase	WA5_RS15810	WA5_RS15810
lepB	WA5_RS10130	2147257	2148045	signal peptidase I	lepB // WA5_RS10125 // WA5_RS10120	lepB // WA5_RS10125 // WA5_RS10120
WA5_RS04470	WA5_RS04470	944995	946782	BCCT family transporter	WA5_RS04470	WA5_RS04470
WA5_RS08615	WA5_RS08615	1818797	1819168	hypothetical protein	WA5_RS08615 // WA5_RS16280	WA5_RS08615 // WA5_RS16280
WA5_RS08765	WA5_RS08765	1855057	1855239	hypothetical protein	WA5_RS08765	WA5_RS08765
WA5_RS15010	WA5_RS15010	3192263	3193201	rhodanese-related sulfurtransferase	WA5_RS15010 // WA5_RS15005	WA5_RS15010 // WA5_RS15005
WA5_RS04475	WA5_RS04475	946839	948671	methionine--tRNA ligase	WA5_RS04475	WA5_RS04475
WA5_RS15445	WA5_RS15445	3289308	3290021	AzlC family ABC transporter permease	WA5_RS15455 // WA5_RS15450 // WA5_RS15445 // WA5_RS15440	WA5_RS15455 // WA5_RS15450 // WA5_RS15445 // WA5_RS15440
prfA	WA5_RS05975	1267429	1268505	peptide chain release factor 1	prmC // prfA // rho	prmC // prfA // rho
WA5_RS13010	WA5_RS13010	2757126	2757815	DUF2334 domain-containing protein	WA5_RS13010	WA5_RS13010
WA5_RS04480	WA5_RS04480	948790	950841	ATP-dependent DNA helicase RecQ	WA5_RS04480	WA5_RS04480
WA5_RS03930	WA5_RS03930	832666	832739	tRNA-Met	WA5_RS03930	WA5_RS03930
WA5_RS11165	WA5_RS11165	2378881	2379312	DUF3052 domain-containing protein	WA5_RS11165	WA5_RS11165
WA5_RS00255	WA5_RS00255	48502	49398	DUF3662 and FHA domain-containing protein	WA5_RS00255 // WA5_RS00250 // WA5_RS00245 // WA5_RS00240 // WA5_RS00235 // WA5_RS00230 // pknB	WA5_RS00255 // WA5_RS00250 // WA5_RS00245 // WA5_RS00240 // WA5_RS00235 // WA5_RS00230 // pknB
WA5_RS00920	WA5_RS00920	187302	187610	transcriptional regulator	WA5_RS00920	WA5_RS00920
WA5_RS04485	WA5_RS04485	950824	951459	cyclase family protein	WA5_RS04485	WA5_RS04485
WA5_RS12955	WA5_RS12955	2744878	2745954	phosphoribosylformylglycinamidine cyclo-ligase	WA5_RS12960 // WA5_RS12955	WA5_RS12960 // WA5_RS12955
WA5_RS01550	WA5_RS01550	310132	311328	MarP family serine protease	WA5_RS01550	WA5_RS01550
WA5_RS03195	WA5_RS03195	651448	654615	error-prone DNA polymerase	WA5_RS03195	WA5_RS03195
WA5_RS09540	WA5_RS09540	2017962	2018201	DUF3039 domain-containing protein	WA5_RS09540 // WA5_RS09535	WA5_RS09540 // WA5_RS09535
WA5_RS15450	WA5_RS15450	3290022	3290627	YqgE/AlgH family protein	WA5_RS15455 // WA5_RS15450 // WA5_RS15445 // WA5_RS15440	WA5_RS15455 // WA5_RS15450 // WA5_RS15445 // WA5_RS15440
WA5_RS09015	WA5_RS09015	1920343	1921275	DUF3800 domain-containing protein	WA5_RS09015	WA5_RS09015
WA5_RS02135	WA5_RS02135	441310	441594	hypothetical protein	WA5_RS02135	WA5_RS02135
aceE	WA5_RS11175	2379979	2382747	pyruvate dehydrogenase (acetyl-transferring), homodimeric type	aceE	WA5_RS11175
WA5_RS10135	WA5_RS10135	2148224	2149168	iron-siderophore ABC transporter substrate-binding protein	WA5_RS10135	WA5_RS10135
WA5_RS11180	WA5_RS11180	2382824	2383615	ABC transporter ATP-binding protein	WA5_RS11190 // WA5_RS11185 // WA5_RS11180	WA5_RS11190 // WA5_RS11185 // WA5_RS11180
WA5_RS07650	WA5_RS07650	1616538	1617302	VTT domain-containing protein	WA5_RS07650	WA5_RS07650
WA5_RS03155	WA5_RS03155	641037	642560	SDR family oxidoreductase	WA5_RS03155	WA5_RS03155
WA5_RS15455	WA5_RS15455	3290620	3292104	CCA tRNA nucleotidyltransferase	WA5_RS15455 // WA5_RS15450 // WA5_RS15445 // WA5_RS15440	WA5_RS15455 // WA5_RS15450 // WA5_RS15445 // WA5_RS15440
WA5_RS11185	WA5_RS11185	2383619	2384509	ABC transporter permease	WA5_RS11190 // WA5_RS11185 // WA5_RS11180	WA5_RS11190 // WA5_RS11185 // WA5_RS11180
WA5_RS12965	WA5_RS12965	2747680	2748057	hypothetical protein	WA5_RS12965	WA5_RS12965
WA5_RS15965	WA5_RS15965	951537	951772	hypothetical protein	WA5_RS15965	WA5_RS15965
ssrA	WA5_RS15635	847073	847449	transfer-messenger RNA	ssrA	WA5_RS15635
WA5_RS16365	WA5_RS16365	3292532	3293500	NUDIX hydrolase	WA5_RS15465 // WA5_RS16365	WA5_RS15465 // WA5_RS16365
WA5_RS11190	WA5_RS11190	2384506	2385498	ABC transporter substrate-binding protein	WA5_RS11190 // WA5_RS11185 // WA5_RS11180	WA5_RS11190 // WA5_RS11185 // WA5_RS11180
WA5_RS16190	WA5_RS16190	49894	50274	hypothetical protein	WA5_RS16190	WA5_RS16190
WA5_RS01555	WA5_RS01555	311896	312891	alpha/beta hydrolase	WA5_RS01560 // WA5_RS01555	WA5_RS01560 // WA5_RS01555
WA5_RS00925	WA5_RS00925	187687	188103	O-methyltransferase	WA5_RS00925	WA5_RS00925
WA5_RS08420	WA5_RS08420	1786903	1788828	hypothetical protein	WA5_RS08420	WA5_RS08420
WA5_RS03160	WA5_RS03160	642553	643959	deoxyribodipyrimidine photo-lyase	WA5_RS03160	WA5_RS03160
WA5_RS09545	WA5_RS09545	2018259	2018756	DUF3099 domain-containing protein	WA5_RS09555 // WA5_RS09550 // WA5_RS09545	WA5_RS09555 // WA5_RS09550 // WA5_RS09545
WA5_RS12970	WA5_RS12970	2748095	2749114	acyl-CoA thioesterase	WA5_RS12970	WA5_RS12970
WA5_RS05990	WA5_RS05990	1270046	1271194	undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase	WA5_RS05990 // WA5_RS05985	WA5_RS05990 // WA5_RS05985
WA5_RS04490	WA5_RS04490	951830	952990	cupin domain-containing protein	WA5_RS04490	WA5_RS04490
WA5_RS02140	WA5_RS02140	441598	442482	LysR family transcriptional regulator	WA5_RS02140	WA5_RS02140
WA5_RS16040	WA5_RS16040	2385783	2386583	DUF1707 domain-containing protein	WA5_RS16040	WA5_RS16040
WA5_RS16280	WA5_RS16280	1818471	1818776	hypothetical protein	WA5_RS08615 // WA5_RS16280	WA5_RS08615 // WA5_RS16280
WA5_RS12975	WA5_RS12975	2749159	2749923	hemolysin III family protein	WA5_RS12975	WA5_RS12975
WA5_RS15470	WA5_RS15470	3296063	3299407	virulence factor	WA5_RS15470	WA5_RS15470
WA5_RS04495	WA5_RS04495	953039	953548	prolyl oligopeptidase family serine peptidase	WA5_RS04495	WA5_RS04495
WA5_RS08915	WA5_RS08915	1897370	1899157	ATP-dependent Clp protease ATP-binding subunit	WA5_RS08915	WA5_RS08915
WA5_RS11205	WA5_RS11205	2386611	2387573	alpha/beta hydrolase	WA5_RS11205	WA5_RS11205
crtX	WA5_RS03165	644026	644781	C50 carotenoid glucosyltransferase CrtX	crtX	WA5_RS03165
purL	WA5_RS12980	2750024	2752312	phosphoribosylformylglycinamidine synthase subunit PurL	purS // purQ // purL	purS // purQ // purL
WA5_RS05995	WA5_RS05995	1271251	1271700	hypothetical protein	WA5_RS05995	WA5_RS05995
WA5_RS15475	WA5_RS15475	3299592	3300266	sigma-70 family RNA polymerase sigma factor	WA5_RS15475	WA5_RS15475
WA5_RS04755	WA5_RS04755	1007048	1008154	YihY/virulence factor BrkB family protein	WA5_RS04755	WA5_RS04755
WA5_RS11210	WA5_RS11210	2387667	2387960	acyl carrier protein	WA5_RS11220 // WA5_RS11215 // WA5_RS11210	WA5_RS11220 // WA5_RS11215 // WA5_RS11210
WA5_RS04030	WA5_RS04030	848351	848424	tRNA-Met	WA5_RS04030	WA5_RS04030
purQ	WA5_RS12985	2752324	2752995	phosphoribosylformylglycinamidine synthase subunit PurQ	purS // purQ // purL	purS // purQ // purL
trxB	WA5_RS15480	3300371	3301324	thioredoxin-disulfide reductase	trxA // trxB	trxA // trxB
WA5_RS15650	WA5_RS15650	953716	954908	IS3 family transposase	WA5_RS04510 // WA5_RS15650	WA5_RS04510 // WA5_RS15650
WA5_RS00275	WA5_RS00275	50963	51436	hypothetical protein	WA5_RS00275	WA5_RS00275
WA5_RS00930	WA5_RS00930	188297	188725	GNAT family N-acetyltransferase	WA5_RS00935 // WA5_RS00930	WA5_RS00935 // WA5_RS00930
WA5_RS01560	WA5_RS01560	312906	313457	phage holin family protein	WA5_RS01560 // WA5_RS01555	WA5_RS01560 // WA5_RS01555
WA5_RS09550	WA5_RS09550	2018749	2020278	class I SAM-dependent methyltransferase	WA5_RS09555 // WA5_RS09550 // WA5_RS09545	WA5_RS09555 // WA5_RS09550 // WA5_RS09545
purS	WA5_RS12990	2752992	2753237	phosphoribosylformylglycinamidine synthase subunit PurS	purS // purQ // purL	purS // purQ // purL
atpB	WA5_RS06005	1272339	1273151	F0F1 ATP synthase subunit A	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB
trxA	WA5_RS15485	3301409	3301732	thioredoxin	trxA // trxB	trxA // trxB
WA5_RS02145	WA5_RS02145	442758	444161	MHS family MFS transporter	WA5_RS02160 // aroQ // qsuB // WA5_RS02145	WA5_RS02160 // aroQ // qsuB // WA5_RS02145
WA5_RS11220	WA5_RS11220	2388838	2389872	App1 family protein	WA5_RS11220 // WA5_RS11215 // WA5_RS11210	WA5_RS11220 // WA5_RS11215 // WA5_RS11210
WA5_RS10145	WA5_RS10145	2150334	2150999	thiamine phosphate synthase	WA5_RS10165 // WA5_RS10160 // thiS // thiO // WA5_RS10145	WA5_RS10165 // WA5_RS10160 // thiS // thiO // WA5_RS10145
WA5_RS09240	WA5_RS09240	1967603	1968169	hypothetical protein	WA5_RS09240	WA5_RS09240
WA5_RS03215	WA5_RS03215	657202	657996	metal-dependent hydrolase	WA5_RS03215	WA5_RS03215
WA5_RS12995	WA5_RS12995	2753325	2753804	glutathione peroxidase	WA5_RS12995	WA5_RS12995
WA5_RS15490	WA5_RS15490	3301809	3302999	N-acetylmuramoyl-L-alanine amidase	WA5_RS15490	WA5_RS15490
WA5_RS11240	WA5_RS11240	2392576	2393139	hypothetical protein	WA5_RS11240	WA5_RS11240
